$ DWR Tailwater Elevation - 2011-2015; NAVD88 (NGVD29+3.3); FEET,
See 'Dworshak-SystemModel-Flows-2015-BOT-v7.xlsm',
JDAY,TW-ELEV
41385.00,981.30
41385.96,981.30
41386.00,981.30
41386.96,981.30
41387.00,981.30
41387.96,981.30
41388.00,981.30
41388.96,981.30
41389.00,981.30
41389.96,981.30
41390.00,981.30
41390.96,981.30
41391.00,981.30
41391.96,981.30
41392.00,981.30
41392.96,981.30
41393.00,981.30
41393.96,981.30
41394.00,981.30
41394.96,981.30
41395.00,981.30
41395.96,981.30
41396.00,981.30
41396.96,981.30
41397.00,981.30
41397.96,981.30
41398.00,981.30
41398.96,981.30
41399.00,981.30
41399.96,981.30
41400.00,981.30
41400.96,981.30
41401.00,981.30
41401.96,981.30
41402.00,981.30
41402.96,980.01
41403.00,980.01
41403.96,980.09
41404.00,980.09
41404.96,979.98
41405.00,979.98
41405.96,978.70
41406.00,978.70
41406.96,978.84
41407.00,978.84
41407.96,979.20
41408.00,979.20
41408.96,979.48
41409.00,979.48
41409.96,979.26
41410.00,979.26
41410.96,978.64
41411.00,978.64
41411.96,978.48
41412.00,978.48
41412.96,978.26
41413.00,978.26
41413.96,978.28
41414.00,978.28
41414.96,978.20
41415.00,978.20
41415.96,978.18
41416.00,978.18
41416.96,976.90
41417.00,976.90
41417.96,976.90
41418.00,976.90
41418.96,976.87
41419.00,976.87
41419.96,976.80
41420.00,976.80
41420.96,976.80
41421.00,976.80
41421.96,976.70
41422.00,976.70
41422.96,976.70
41423.00,976.70
41423.96,976.70
41424.00,976.70
41424.96,979.69
41425.00,979.69
41425.96,979.70
41426.00,979.70
41426.96,979.70
41427.00,979.70
41427.96,975.68
41428.00,975.68
41428.96,975.65
41429.00,975.65
41429.96,975.65
41430.00,975.65
41430.96,977.20
41431.00,977.20
41431.96,977.20
41432.00,977.20
41432.96,979.96
41433.00,979.96
41433.96,981.00
41434.00,981.00
41434.96,981.00
41435.00,981.00
41435.96,981.00
41436.00,981.00
41436.96,979.87
41437.00,979.87
41437.96,979.24
41438.00,979.24
41438.96,979.12
41439.00,979.12
41439.96,978.78
41440.00,978.78
41440.96,977.89
41441.00,977.89
41441.96,977.90
41442.00,977.90
41442.96,978.52
41443.00,978.52
41443.96,979.13
41444.00,979.13
41444.96,979.60
41445.00,979.60
41445.96,980.89
41446.00,980.89
41446.96,979.90
41447.00,979.90
41447.96,977.90
41448.00,977.90
41448.96,977.90
41449.00,977.90
41449.96,977.90
41450.00,977.90
41450.96,978.31
41451.00,978.31
41451.96,979.14
41452.00,979.14
