$ DWR N2 - Assuming % saturation and wtemp at DWQI,,
See 'DWR-estimateTDG-BC.xlsm.',,
JDAY,N2,O2
29.833330,18.17878043,11.26591007
29.875000,18.17927758,11.26591213
29.916670,18.18025719,11.26591007
29.958330,18.16140179,11.25392301
30.000000,18.16391295,11.25391992
30.041670,18.16506706,11.25392404
30.083330,18.16410981,11.25392301
30.125000,18.16497512,11.25392609
30.166670,18.1650704,11.25392609
30.208330,18.16344732,11.25392918
30.250000,18.163351,11.25392918
30.291670,18.14401105,11.24194622
30.333330,18.14119755,11.24194827
30.375000,18.12018199,11.22996222
30.416670,18.1005416,11.21797413
30.458330,18.08770656,11.20599628
30.500000,18.0955617,11.20600038
30.541670,18.08439864,11.19401637
30.583330,18.09602412,11.19401944
30.625000,18.10612409,11.18203339
30.666670,18.09738965,11.18686386
30.708330,18.04641,11.16283498
30.750000,18.02691473,11.15082003
30.791670,18.02663568,11.15082411
30.833330,18.01278181,11.13881119
30.875000,18.00052955,11.12679521
30.916670,17.99642178,11.12679826
30.958330,17.97996268,11.11478532
31.000000,17.96322228,11.10277238
31.041670,17.96572634,11.10277746
31.083330,17.94592894,11.09076552
31.125000,17.96799525,11.1027876
31.166670,17.93236661,11.07875458
31.208330,17.93491723,11.07875863
31.250000,17.97481467,11.10741479
31.291670,17.9358221,11.0833196
31.333330,17.91840542,11.07127959
31.375000,17.94311089,11.0833277
31.416670,17.94326197,11.08333074
31.458330,17.94223909,11.08333479
31.500000,17.96967889,11.09538899
31.541670,17.9662961,11.09538797
31.583330,17.96749004,11.09538899
31.625000,17.97047575,11.09539608
31.666670,17.95338832,11.083352
31.708330,17.93991471,11.08335605
31.750000,17.92228605,11.07131499
31.791670,17.92144329,11.07131904
31.833330,17.88318461,11.04722174
31.875000,17.89898754,11.04722577
31.916670,17.88383183,11.03518368
31.958330,17.85985356,11.02314358
32.000000,17.85075722,11.01110146
32.041670,17.83144921,10.99905832
32.083330,17.82866502,10.99906536
32.125000,17.82854831,10.9990744
32.166670,17.80916518,10.98703525
32.208330,17.82929893,10.9990945
32.250000,17.82902787,11.00344585
32.291670,17.83075033,11.00345489
32.333330,17.8285104,11.00346696
32.375000,17.80674917,10.99139754
32.416670,17.78901759,10.97505323
32.458330,17.78339834,10.97506727
32.500000,17.81019121,10.98712759
32.541670,17.87245996,11.02768631
32.583330,17.86503627,11.02769538
32.625000,17.8859128,11.03977794
32.666670,17.88056276,11.03978198
32.708330,17.87523189,11.03978702
32.750000,17.87920361,11.03979105
32.791670,17.87945143,11.03980114
32.833330,17.86035236,11.0277246
32.875000,17.84138771,11.01564101
32.916670,17.84211937,11.01565409
32.958330,17.86260749,11.02773467
33.000000,17.82521674,10.99923316
33.041670,17.82608654,10.99922713
33.083330,17.82691936,10.99922914
33.125000,17.86649262,11.02772863
33.166670,17.86740665,11.02773669
33.208330,17.82882857,11.00358256
33.250000,17.82841467,11.00358959
33.291670,17.83084315,11.00360769
33.333330,17.80837311,10.99154616
33.375000,17.84502115,11.01570642
33.416670,17.84349305,11.0156873
33.458330,17.84604502,11.01569535
33.500000,17.86056312,11.02778404
33.541670,17.87865525,11.03983644
33.583330,17.87481885,11.03984047
33.625000,17.89006708,11.05190999
33.666670,17.89325378,11.05187869
33.708330,17.88642697,11.05188474
33.750000,17.8671838,11.03981929
33.791670,17.86837926,11.03980719
33.833330,17.86567161,11.03979811
33.875000,17.87024297,11.03980215
33.916670,17.87016764,11.03981123
33.958330,17.8515923,11.02772863
34.000000,17.85300893,11.02771049
34.041670,17.85373295,11.02767926
34.083330,17.87378812,11.03975071
34.125000,17.87526188,11.03977996
34.166670,17.87477878,11.03979005
34.208330,17.87370976,11.03978097
34.250000,17.85435821,11.0276974
34.291670,17.87436863,11.03976987
34.333330,17.84972368,11.02768531
34.375000,17.84805841,11.02768329
34.416670,17.86949883,11.03976181
