$ DLS 2011 2017-11-16 by 1_CWMS_weather_station_read_plot_v3.py,,,,,,
CWMS paths:,DLS.Temp-Air.Inst.1Hour.0.METAR-COMPUTED-REV,DLS.Temp-DewPoint.Inst.1Hour.0.METAR-COMPUTED-REV,DLS.Speed-Wind.Inst.1Hour.0.METAR-COMPUTED-REV,DLS.Dir-Wind.Inst.1Hour.0.METAR-COMPUTED-REV,DLS.%-CloudCover.Inst.1Hour.0.METAR-COMPUTED-REV,TDA.Pres-Air.Inst.1Hour.0.GOES-REV; fill with JHAW/JDA linTrend of TDDO
JDAY,TAIR_C,TDEW_C,WIND_ms,PHI_rad,CLOUD_0_10,BP_mmHg
17.416670,12.8,5,10.72,5.23,0,759.252569
17.458330,12.8,5,10.28,5.58,0,759.252569
17.500000,13.3,5,11.17,5.23,0,758.289469
17.541670,14.4,2.8,15.19,5.23,0,759.252569
17.583330,12.2,3.9,10.72,5.23,0,759.252569
17.625000,12.8,4.4,9.83,5.23,0,760.215669
17.666670,11.7,3.9,6.7,5.41,10,761.178769
17.708330,11.1,3.9,9.38,5.06,10,762.141869
17.750000,10.6,3.3,5.81,5.23,10,762.141869
17.791670,10,2.8,7.6,5.23,10,763.104969
17.833330,10,2.8,8.04,5.41,10,763.104969
17.875000,9.4,2.2,8.04,5.06,7.5,763.104969
17.916670,8.9,2.2,8.04,5.23,2,763.104969
17.958330,8.9,2.2,7.15,5.23,10,763.104969
18.000000,8.3,2.2,6.7,5.41,0,763.104969
18.041670,8.3,1.7,8.04,5.23,0,763.104969
18.083330,8.3,1.7,6.25,5.23,0,763.104969
18.125000,7.8,1.7,7.15,5.23,0,763.104969
18.166670,7.8,1.7,2.68,4.71,0,763.104969
18.208330,7.8,2.2,5.81,4.53,0,762.141869
18.250000,6.7,1.1,4.91,4.01,4.4,762.141869
18.291670,6.7,1.1,4.02,3.84,10,762.141869
18.333330,6.7,1.7,1.34,3.84,10,761.178769
18.375000,8.3,2.2,7.15,5.41,10,761.178769
18.416670,8.3,2.8,3.57,5.58,10,761.178769
18.458330,8.3,2.8,4.02,5.06,7.5,761.178769
18.500000,8.3,3.3,3.57,5.06,7.5,760.215669
18.541670,8.3,3.3,3.12,5.06,7.5,759.252569
18.583330,7.8,3.9,3.12,5.58,10,758.289469
18.625000,8.3,3.9,4.91,5.23,7.5,758.289469
18.666670,7.8,2.8,4.47,5.41,7.5,758.289469
18.708330,7.2,2.8,3.57,5.23,10,758.289469
18.750000,7.2,2.2,4.47,5.23,10,758.289469
18.791670,6.7,2.2,1.34,5.76,10,758.289469
18.833330,6.1,2.2,3.12,6.28,10,758.289469
18.875000,6.1,2.2,2.23,5.23,10,759.252569
18.916670,5.6,2.2,3.57,0.17,10,760.215669
18.958330,5,2.2,2.68,5.93,10,761.178769
19.000000,4.4,1.7,3.57,5.93,10,762.141869
19.041670,4.4,1.7,2.68,6.1,10,762.141869
19.083330,3.9,1.7,0,0,10,763.104969
19.125000,2.8,0.6,0,0,7.5,764.068069
19.166670,2.2,0,0,0,2,765.031169
19.208330,0.6,-0.6,0,0,7.5,765.031169
19.250000,2.8,0.6,0,0,10,765.994269
19.291670,2.8,1.1,0,0,10,765.994269
19.333330,3.3,1.1,0,0,10,766.957369
19.375000,3.9,1.7,0,0,10,766.957369
