$ JOHN DAY_OUTFLOW.npt based on $//JOHN DAY_OUT/FLOW//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,FLOW
754.000000,5189.955
755.000000,5173.588
756.000000,4734.957
757.000000,5096.428
758.000000,4360.674
759.000000,4233.632
760.000000,3835.225
761.000000,3847.799
762.000000,3591.305
763.000000,4377.821
764.000000,3821.001
765.000000,3615.488
766.000000,3757.454
767.000000,3856.105
768.000000,3809.079
769.000000,3751.278
770.000000,3923.638
771.000000,3659.429
772.000000,3914.192
773.000000,3488.271
774.000000,3606.745
775.000000,4016.099
776.000000,3598.841
777.000000,3874.904
778.000000,4017.348
779.000000,3698.495
780.000000,3813.02
781.000000,3797.732
782.000000,3628.643
783.000000,3829.287
784.000000,4019.444
785.000000,3665.571
786.000000,3622.933
787.000000,3759.916
788.000000,3440.934
789.000000,3537.2
790.000000,2925.074
791.000000,3626.897
792.000000,3035.031
793.000000,3126.243
794.000000,3177.959
795.000000,2557.736
796.000000,2839.493
797.000000,2959.452
798.000000,3145.659
799.000000,2882.638
800.000000,2944.902
801.000000,3415.812
802.000000,3642.496
803.000000,3393.335
804.000000,2986.939
805.000000,2891.509
806.000000,2892.615
807.000000,3188.808
808.000000,3303.3
809.000000,3381.839
810.000000,3986.687
811.000000,2813.513
812.000000,3609.057
813.000000,3510.958
814.000000,3375.907
815.000000,3354.206
816.000000,3723.461
817.000000,3697.869
818.000000,3508.542
819.000000,3819.414
820.000000,3051.979
821.000000,4125.07
822.000000,4613.503
823.000000,4385.933
824.000000,4100.681
825.000000,4993.515
826.000000,5028.202
827.000000,5693.607
828.000000,6094.792
829.000000,6516.773
830.000000,6717.201
831.000000,7216.869
832.000000,7163.03
833.000000,7690.67
834.000000,7959.164
835.000000,7333.354
836.000000,7091.57
837.000000,7519.896
838.000000,8058.568
839.000000,7269.307
840.000000,7035.826
841.000000,6280.514
842.000000,6430.328
843.000000,6564.73
844.000000,6860.249
845.000000,6296.569
846.000000,5964.796
847.000000,6125.244
848.000000,5841.47
849.000000,6375.441
850.000000,6491.485
851.000000,6245.682
852.000000,6019.948
853.000000,6421.318
854.000000,6475.896
855.000000,6687.353
856.000000,6378.086
857.000000,6253.998
858.000000,6390.833
859.000000,6527.935
860.000000,7458.76
861.000000,7805.638
862.000000,8882.434
863.000000,9869.148
864.000000,10115.75
865.000000,9746.259
866.000000,9221.295
867.000000,9504.521
868.000000,9786.923
869.000000,8935.533
870.000000,9037.671
871.000000,9290.129
872.000000,8830.929
873.000000,8301.932
874.000000,8312.452
875.000000,8890.008
876.000000,8594.863
877.000000,8045.223
878.000000,8115.942
879.000000,8340.73
880.000000,8273.318
881.000000,7800.176
882.000000,7399.694
883.000000,7513.989
884.000000,6944.82
885.000000,6992.663
886.000000,7350.595
887.000000,6862.788
888.000000,6912.801
889.000000,7303.329
890.000000,6832.799
891.000000,6768.935
892.000000,6937.482
893.000000,7177.568
894.000000,6418.837
895.000000,6655.86
896.000000,7123.593
897.000000,7082.081
898.000000,6652.213
899.000000,6224.281
900.000000,5947.274
901.000000,6075.933
902.000000,6464.048
903.000000,6657.276
904.000000,6596.591
905.000000,7953.046
906.000000,7588.554
907.000000,7268.35
908.000000,7286.987
909.000000,7616.039
910.000000,7281.935
911.000000,7437.043
912.000000,8257.833
913.000000,8026.414
914.000000,8130.806
915.000000,8005.888
916.000000,7803.013
917.000000,7949.89
918.000000,7666.229
919.000000,7906.749
920.000000,7130.24
921.000000,7496.607
922.000000,6571.438
923.000000,6299.744
924.000000,5951.105
925.000000,5664.42
926.000000,5874.752
927.000000,6078.205
928.000000,6040.619
929.000000,5838.099
930.000000,5528.188
931.000000,5424.899
932.000000,5374.597
933.000000,5252.305
934.000000,5378.958
935.000000,5668.38
936.000000,5063.455
937.000000,4376.487
938.000000,4669.138
939.000000,5362.971
940.000000,4928.858
941.000000,4318.935
942.000000,4506.993
943.000000,4805.123
944.000000,5136.778
945.000000,5238.038
946.000000,5007.673
947.000000,4798.143
948.000000,5007.553
949.000000,4419.042
950.000000,4702.22
951.000000,4839.443
952.000000,4612.594
953.000000,4492.548
954.000000,4379.234
955.000000,4308.088
956.000000,4359.471
957.000000,4575.523
958.000000,4813.955
959.000000,4252.127
960.000000,4491.991
961.000000,4408.431
962.000000,3899.771
963.000000,4206.041
964.000000,4109.625
965.000000,4045.566
966.000000,4169.043
967.000000,3698.381
