"Name","Segment","Parameter","Units","Data_Column","Filename","Output_Timestep"
"Time Series File 1 Segment 41 Depth 0.50 m","41","ConducF","W/m^2","17/20","TDA_tsr_1_seg41.opt",    0.041667
"Time Series File 1 Segment 41 Depth 0.50 m","41","N2","g/m^3","18/20","TDA_tsr_1_seg41.opt",    0.041667
"Time Series File 1 Segment 41 Depth 0.50 m","41","DO","g/m^3","19/20","TDA_tsr_1_seg41.opt",    0.041667
"Time Series File 1 Segment 41 Depth 0.50 m","41","Oxygen % Gas Saturation","","20/20","TDA_tsr_1_seg41.opt",    0.041667
"Time Series File 2 Segment 41 Depth 3.00 m","41","DLT","s","1/20","TDA_tsr_2_seg41.opt",    0.041667
"Time Series File 2 Segment 41 Depth 3.00 m","41","ELWS","m","2/20","TDA_tsr_2_seg41.opt",    0.041667
"Time Series File 2 Segment 41 Depth 3.00 m","41","T2","Celsius","3/20","TDA_tsr_2_seg41.opt",    0.041667
"Time Series File 2 Segment 41 Depth 3.00 m","41","U","m/s","4/20","TDA_tsr_2_seg41.opt",    0.041667
"Time Series File 2 Segment 41 Depth 3.00 m","41","Q","m^3/s","5/20","TDA_tsr_2_seg41.opt",    0.041667
"Time Series File 2 Segment 41 Depth 3.00 m","41","SRON","W/m^2","6/20","TDA_tsr_2_seg41.opt",    0.041667
