$ ICE HARBOR_OUTFLOW.npt based on $//ICE HARBOR_OUT/FLOW//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,FLOW
980.000000,371.144
981.000000,599.241
982.000000,752.031
983.000000,575.592
984.000000,504.665
985.000000,575.022
986.000000,918.094
987.000000,535.842
988.000000,619.259
989.000000,644.778
990.000000,688.519
991.000000,575.746
992.000000,482.283
993.000000,529.07
994.000000,410.036
995.000000,466.57
996.000000,1041.922
997.000000,493.809
998.000000,308.253
999.000000,271.403
1000.000000,408.779
1001.000000,481.75
1002.000000,535.837
1003.000000,529.147
1004.000000,750.408
1005.000000,707.342
1006.000000,613.999
1007.000000,1002.266
1008.000000,822.323
1009.000000,954.366
1010.000000,693.685
1011.000000,850.353
1012.000000,565.849
1013.000000,642.783
1014.000000,840.186
1015.000000,700.2
1016.000000,713.613
1017.000000,700.562
1018.000000,738.083
1019.000000,558.877
1020.000000,757.681
1021.000000,515.409
1022.000000,654.335
1023.000000,811.923
1024.000000,463.84
1025.000000,374.031
1026.000000,771.353
1027.000000,528.752
1028.000000,547.811
1029.000000,535.334
1030.000000,467.179
1031.000000,369.106
1032.000000,540.373
1033.000000,459.604
1034.000000,354.823
1035.000000,460.165
1036.000000,548.74
1037.000000,533.15
1038.000000,372.264
1039.000000,532.022
1040.000000,502.268
1041.000000,450.786
1042.000000,739.019
1043.000000,617.042
1044.000000,699.15
1045.000000,401.464
1046.000000,543.972
1047.000000,416.283
1048.000000,666.141
1049.000000,654.523
1050.000000,521.366
1051.000000,586.922
1052.000000,641.948
1053.000000,514.142
1054.000000,440.609
1055.000000,462.2
1056.000000,583.064
1057.000000,675.307
1058.000000,655.31
1059.000000,582.875
1060.000000,557.332
1061.000000,396.035
1062.000000,510.88
1063.000000,519.794
1064.000000,396.146
1065.000000,528.228
1066.000000,616.096
1067.000000,528.043
1068.000000,735.52
1069.000000,704.301
1070.000000,887.843
1071.000000,632.62
1072.000000,891.61
1073.000000,695.644
1074.000000,454.651
1075.000000,726.744
1076.000000,642.505
1077.000000,646.584
1078.000000,555.303
1079.000000,543.189
1080.000000,459.867
1081.000000,336.804
1082.000000,481.554
1083.000000,675.274
1084.000000,669.671
1085.000000,600.987
1086.000000,544.301
1087.000000,704.328
1088.000000,471.587
1089.000000,488.731
1090.000000,471.037
1091.000000,577.798
1092.000000,591.034
1093.000000,475.231
1094.000000,616.557
1095.000000,511.702
1096.000000,544.682
1097.000000,727.782
1098.000000,542.583
1099.000000,528.626
1100.000000,395.461
1101.000000,600.914
1102.000000,699.668
1103.000000,346.984
1104.000000,677.424
1105.000000,779.403
1106.000000,578.936
1107.000000,622.443
1108.000000,540.157
1109.000000,595.185
1110.000000,519.324
1111.000000,690.891
1112.000000,788.115
1113.000000,527.93
1114.000000,618.393
1115.000000,654.919
1116.000000,615.717
1117.000000,579.859
1118.000000,479.928
1119.000000,652.328
1120.000000,482.632
1121.000000,568.321
1122.000000,601.272
