$MCN Elev-Tailwater CBT-REV [m=>ft},,
CY2011-2015,,12/31/2010
JDAY,ElevFT,
41849,265.3084074,
41850,264.8097198,
41851,265.3412158,
41852,264.6292736,
41853,264.9409534,
41854,264.6292736,
41855,264.2585386,
41856,264.4816358,
41857,264.4586699,
41858,264.7605072,
41859,264.8687749,
41860,264.6916095,
41861,264.4586699,
41862,264.3011896,
41863,264.7309796,
41864,264.4389848,
41865,264.5308484,
41866,264.599746,
41867,264.3208746,
41868,263.8090636,
41869,263.7106384,
41870,263.8713995,
41871,264.169956,
41872,264.7309796,
41873,264.4192998,
41874,264.1994835,
41875,264.0485649,
41876,264.0715308,
41877,264.1797985,
41878,264.1109008,
41879,264.3110321,
41880,264.209326,
41881,264.1502709,
41882,264.0288798,
41883,264.1994835,
41884,263.7893785,
41885,264.3307171,
41886,264.5111633,
41887,264.2585386,
41888,264.1404284,
41889,263.9304546,
41890,263.2906908,
41891,263.4088011,
41892,263.799221,
41893,263.5006646,
41894,263.6515832,
41895,264.169956,
41896,263.9895098,
41897,263.759851,
41898,263.7500084,
41899,263.779536,
41900,263.9993523,
41901,264.1010583,
41902,263.9895098,
41903,263.4186436,
41904,263.7007958,
41905,263.7401659,
41906,264.1601134,
41907,264.4488274,
41908,264.1601134,
41909,263.6089323,
41910,263.5695622,
41911,263.799221,
41912,263.9402972,
41913,264.2388536,
41914,263.9501397,
41915,264.0912158,
41916,264.189641,
41917,264.0584074,
41918,264.0091948,
41919,264.6292736,
41920,265.0196935,
41921,264.9311108,
41922,264.619431,
41923,264.5406909,
41924,264.580061,
41925,264.4389848,
41926,264.5013208,
