                                                                              Part#,Seg#,XLocationwithinSegmentfromUpstreamSide(m),Layer#,VerticalDistfromTop(m),LateralDistfromLeftBank,Branch#,ParticleInModel(=0),JDAYleftsystem,DetentionTime(days),RemovalMechanism,SedVelocity(m/d),DateStart
    146,     62.000,     0.000,   108.000,     0.000,   702.625,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    147,     62.000,     0.000,   108.000,     0.400,   702.625,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    148,     62.000,     0.000,   108.000,     0.800,   702.625,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    149,     62.000,     0.000,   108.000,     1.200,   702.625,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    150,     62.000,     0.000,   108.000,     1.600,   702.625,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    151,     62.000,     0.000,   109.000,     0.000,   690.225,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    152,     62.000,     0.000,   109.000,     0.400,   690.225,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    153,     62.000,     0.000,   109.000,     0.800,   690.225,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    154,     62.000,     0.000,   109.000,     1.200,   690.225,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    155,     62.000,     0.000,   109.000,     1.600,   690.225,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    156,     62.000,     0.000,   110.000,     0.000,   677.420,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    157,     62.000,     0.000,   110.000,     0.400,   677.420,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    158,     62.000,     0.000,   110.000,     0.800,   677.420,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    159,     62.000,     0.000,   110.000,     1.200,   677.420,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    160,     62.000,     0.000,   110.000,     1.600,   677.420,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
