$ BONNEVILLE-POOLELEV.npt based on $//BONNEVILLE-POOL/ELEV//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,ELEV
42296,23.141
42297,23.176
42298,23.165
42299,23.178
42300,23.112
42301,23.127
42302,23.091
42303,23.117
42304,23.107
42305,23.167
42306,23.124
42307,23.12
42308,23.143
42309,23.269
42310,23.089
42311,22.994
42312,22.981
42313,23.187
42314,23.054
42315,23.085
42316,23.207
42317,23.106
42318,23.072
42319,23.084
42320,23.066
42321,23.086
42322,23.09
42323,23.142
42324,23.232
42325,23.185
42326,23.537
42327,23.524
42328,23.333
42329,23.143
42330,23.012
42331,23.136
42332,23.049
42333,23.114
42334,23.144
42335,23.694
42336,23.572
42337,23.666
42338,23.814
42339,23.678
42340,23.628
42341,23.44
42342,23.412
42343,23.505
42344,23.419
42345,23.227
42346,23.445
42347,23.615
42348,23.474
42349,23.218
42350,23.256
42351,23.198
42352,23.207
42353,23.087
42354,23.197
42355,23.038
42356,23.096
42357,23.117
42358,23.386
42359,23.362
42360,23.188
42361,23.381
42362,23.652
42363,23.723
42364,23.484
42365,23.411
42366,23.311
42367,23.403
42368,23.534
42369,23.677
42370,23.478
