$ LOWER GRANITE-POOLELEV.npt based on $//LOWER GRANITE-POOL/ELEV//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,ELEV
42318,225.656
42319,225.764
42320,225.655
42321,225.653
42322,225.65
42323,225.676
42324,225.665
42325,225.402
42326,225.426
42327,225.585
42328,225.703
42329,225.661
42330,225.726
42331,225.667
42332,225.606
42333,225.598
42334,225.507
42335,225.451
42336,225.431
42337,225.521
42338,225.609
42339,225.441
42340,225.302
42341,225.325
42342,225.367
42343,225.524
42344,225.665
42345,225.691
42346,225.613
42347,225.525
42348,225.589
42349,225.501
42350,225.544
42351,225.648
42352,225.469
42353,225.531
42354,225.633
42355,225.299
42356,225.421
42357,225.424
42358,225.444
42359,225.46
42360,225.499
42361,225.407
42362,225.344
42363,225.383
42364,225.457
42365,225.554
42366,225.646
42367,225.579
42368,225.486
42369,225.47
42370,225.61
