$ GRAND COULEE_OUTFLOW.npt based on $//GRAND COULEE_OUT/FLOW//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,FLOW
1225.000000,4390.779
1226.000000,4623.297
1227.000000,4417.914
1228.000000,4259.593
1229.000000,4260.609
1230.000000,4415.39
1231.000000,4522.085
1232.000000,4998.848
1233.000000,4989.544
1234.000000,4940.612
1235.000000,4841.934
1236.000000,4661.879
1237.000000,4383.859
1238.000000,4853.118
1239.000000,4993.105
1240.000000,5107.362
1241.000000,5106.18
1242.000000,4852.125
1243.000000,4839.469
1244.000000,5051.501
1245.000000,5060.127
1246.000000,4515.607
1247.000000,4646.971
1248.000000,4767.411
1249.000000,5115.296
1250.000000,5337.505
1251.000000,5636.844
1252.000000,5570.161
1253.000000,5371.379
1254.000000,5144.685
1255.000000,4813.829
1256.000000,4590.374
1257.000000,4722.243
1258.000000,4550.706
1259.000000,4094.523
1260.000000,3795.084
1261.000000,3534.318
1262.000000,3257.112
1263.000000,3242.439
1264.000000,3376.208
1265.000000,3759.504
1266.000000,4058.397
1267.000000,4541.066
1268.000000,5008.922
1269.000000,5140.098
1270.000000,5069.01
1271.000000,5144.908
1272.000000,5176.553
1273.000000,5141.151
1274.000000,5042.156
1275.000000,4835.208
1276.000000,5257.642
1277.000000,5707.065
1278.000000,5508.395
1279.000000,5231.384
1280.000000,5201.245
1281.000000,5098.361
1282.000000,5277.2
1283.000000,4833.757
1284.000000,4756.033
1285.000000,4936.785
1286.000000,4803.75
1287.000000,4532.775
1288.000000,4638.14
1289.000000,4522.495
1290.000000,4306.318
1291.000000,4250.852
1292.000000,3930.41
1293.000000,4165.92
1294.000000,4636.171
1295.000000,4354.407
1296.000000,4053.983
1297.000000,4058.933
1298.000000,4198.948
1299.000000,4089.145
