$ LOWER MONUMENTAL_OUTFLOW.npt based on $//LOWER MONUMENTAL_OUT/FLOW//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,FLOW
1028.000000,590.786
1029.000000,510.882
1030.000000,475.183
1031.000000,388.14
1032.000000,511.557
1033.000000,458.007
1034.000000,401.438
1035.000000,514.879
1036.000000,525.038
1037.000000,495.586
1038.000000,428.865
1039.000000,495.208
1040.000000,491.979
1041.000000,504.777
1042.000000,648.153
1043.000000,624.191
1044.000000,630.26
1045.000000,462.32
1046.000000,497.441
1047.000000,512.861
1048.000000,600.282
1049.000000,616.105
1050.000000,601.329
1051.000000,633.191
1052.000000,594.382
1053.000000,531.082
1054.000000,462.466
1055.000000,492.858
1056.000000,604.67
1057.000000,639.82
1058.000000,652.325
1059.000000,575.132
1060.000000,466.879
1061.000000,434.815
1062.000000,523.763
1063.000000,494.85
1064.000000,447.695
1065.000000,484.614
1066.000000,565.5
1067.000000,561.153
1068.000000,670.444
1069.000000,795.925
1070.000000,796.783
1071.000000,729.489
1072.000000,780.114
1073.000000,645.745
1074.000000,515.288
1075.000000,711.506
1076.000000,629.98
1077.000000,588.784
1078.000000,551.689
1079.000000,510.899
1080.000000,468.247
1081.000000,349.999
1082.000000,476.011
1083.000000,644.965
1084.000000,628.754
1085.000000,616.777
1086.000000,521.258
1087.000000,623.926
1088.000000,547.71
1089.000000,499.726
1090.000000,487.334
1091.000000,545.831
1092.000000,570.746
1093.000000,577.28
1094.000000,578.832
1095.000000,534.993
1096.000000,523.876
1097.000000,626.59
1098.000000,548.993
1099.000000,494.369
1100.000000,480.493
1101.000000,579.971
1102.000000,655.841
1103.000000,451.739
1104.000000,546.761
1105.000000,662.593
1106.000000,623.945
1107.000000,589.478
1108.000000,567.816
1109.000000,563.909
1110.000000,570.543
1111.000000,647.482
1112.000000,682.131
1113.000000,580.08
1114.000000,620.157
1115.000000,646.459
1116.000000,638.048
1117.000000,553.225
1118.000000,529.037
1119.000000,588.702
1120.000000,506.556
1121.000000,566.948
1122.000000,603.405
1123.000000,549.367
1124.000000,539.239
1125.000000,496.59
1126.000000,554.601
1127.000000,507.271
1128.000000,506.359
1129.000000,556.726
1130.000000,545.258
1131.000000,510.349
1132.000000,570.653
1133.000000,648.045
1134.000000,409.769
1135.000000,764.494
1136.000000,601.864
1137.000000,514.037
1138.000000,565.573
1139.000000,521.024
1140.000000,749.117
1141.000000,814.23
1142.000000,829.883
1143.000000,970.423
1144.000000,1206.822
1145.000000,990.831
1146.000000,1062.272
1147.000000,1133.813
1148.000000,995.69
1149.000000,957.492
1150.000000,807.013
1151.000000,878.612
1152.000000,980.561
1153.000000,1064.99
1154.000000,933.666
1155.000000,816.708
1156.000000,937.521
1157.000000,1117.883
1158.000000,1074.202
1159.000000,1371.066
1160.000000,1499.184
1161.000000,1902.068
1162.000000,2410.254
1163.000000,2888.239
1164.000000,2960.851
1165.000000,2865.456
1166.000000,3165.248
1167.000000,3530.506
1168.000000,3513.744
1169.000000,3105.725
1170.000000,2278.71
1171.000000,2214.326
1172.000000,2277.327
1173.000000,2093.125
1174.000000,2059.911
1175.000000,2080.004
1176.000000,2087.511
1177.000000,1758.089
1178.000000,1928.952
1179.000000,1543.174
1180.000000,1621.236
1181.000000,1560.36
1182.000000,1364.55
1183.000000,1620.758
1184.000000,1827.18
1185.000000,2266.983
1186.000000,2354.697
1187.000000,2462.891
