$JDA Elev-Tailwater CBT-REV [m => ft NAVD88],,
CY 2011-2015,,12/31/2010
JDAY,ElevFT,
41809,165.2952801,
41810,165.4658838,
41811,165.994099,
41812,166.5551227,
41813,165.8956738,
41814,166.0662775,
41815,166.2532854,
41816,165.64633,
41817,165.564309,
41818,165.954729,
41819,166.5649652,
41820,166.7158838,
41821,166.0859626,
41822,166.3549914,
41823,166.2434429,
41824,165.7939678,
41825,165.564309,
41826,164.9934428,
41827,165.4560413,
41828,165.3641778,
41829,165.0853064,
41830,165.173889,
41831,164.9540728,
41832,165.25591,
41833,163.8451488,
41834,164.763784,
41835,164.5538103,
41836,164.8753326,
41837,164.8556476,
41838,164.9147027,
41839,164.6358313,
41840,164.5144402,
41841,164.5833378,
41842,164.1732328,
41843,164.2355688,
41844,164.3832066,
41845,164.9147027,
41846,164.5734953,
41847,164.7047289,
41848,164.9442302,
41849,164.39633,
41850,164.6161462,
41851,164.2158838,
41852,164.0748076,
41853,163.8057788,
41854,163.7434428,
41855,163.7434428,
41856,163.6450176,
41857,164.1961987,
41858,164.4553851,
41859,164.2355688,
41860,164.2060412,
41861,164.00591,
41862,164.2158838,
41863,164.00591,
41864,163.986225,
41865,164.1732328,
41866,163.8845189,
41867,163.7762512,
41868,163.513784,
41869,163.5859625,
41870,163.7532853,
41871,163.6647026,
41872,163.5433116,
41873,163.5531541,
41874,163.6745452,
41875,162.9232328,
41876,163.6351751,
41877,163.8353063,
41878,164.0649651,
41879,163.7762512,
41880,163.9632591,
41881,163.4645714,
41882,163.3563037,
41883,162.9658837,
41884,163.3956738,
41885,163.7040727,
41886,163.6647026,
41887,163.513784,
41888,163.4252013,
41889,163.1332066,
41890,163.205385,
41891,163.0938365,
41892,163.1758575,
41893,163.0643089,
41894,163.494099,
41895,163.4055163,
41896,163.0544664,
41897,163.205385,
41898,163.2152276,
41899,163.3136528,
41900,163.3431803,
41901,163.2152276,
41902,163.0150963,
41903,163.2939677,
41904,163.4547289,
41905,163.57612,
41906,163.61549,
41907,163.4055163,
41908,163.166015,
41909,163.3234953,
41910,163.2250701,
41911,163.2250701,
41912,163.4448864,
41913,163.1561724,
41914,163.3759887,
41915,163.4842564,
41916,163.166015,
41917,163.1955425,
41918,163.3234953,
41919,163.494099,
41920,163.6843877,
41921,163.6843877,
41922,163.4252013,
41923,163.3858312,
41924,163.4055163,
41925,163.205385,
41926,163.3136528,
