SEGMENT#, BRANCH#, XC, YC, UTMZONE
532, 23,   414585.06094,  5307932.12326, 11
531, 23,   414781.90315,  5308088.32762, 11
530, 23,   414986.05087,  5308234.31609, 11
529, 23,   415200.76488,  5308364.71969, 11
528, 23,   415418.73965,  5308489.75433, 11
527, 23,   415636.71442,  5308614.78896, 11
526, 23,   415850.74429,  5308746.24641, 11
525, 23,   416058.71409,  5308887.24647, 11
524, 23,   416264.56873,  5309031.36631, 11
523, 23,   416470.42337,  5309175.48614, 11
522, 23,   416679.75087,  5309314.37170, 11
521, 23,   416891.87768,  5309449.08362, 11
520, 23,   417077.58201,  5309613.87311, 11
519, 23,   417230.56388,  5309813.03607, 11
518, 23,   417406.49536,  5309987.35574, 11
517, 23,   417634.75294,  5310068.30343, 11
516, 23,   417885.21064,  5310088.58364, 11
515, 23,   418131.06220,  5310134.79493, 11
514, 23,   418282.87139,  5310291.35279, 11
513, 23,   418328.99769,  5310537.83322, 11
512, 23,   418423.04363,  5310760.27278, 11
511, 23,   418615.14145,  5310912.71222, 11
510, 23,   418852.05139,  5310988.80907, 11
509, 23,   419100.59764,  5311025.30515, 11
508, 23,   419350.05648,  5311055.58628, 11
507, 23,   419599.51533,  5311085.86741, 11
506, 23,   419849.65761,  5311108.64202, 11
505, 23,   420100.61093,  5311121.40051, 11
504, 23,   420351.63431,  5311132.90451, 11
503, 23,   420602.24469,  5311150.67651, 11
502, 23,   420846.60731,  5311201.68762, 11
501, 23,   421091.25534,  5311248.94034, 11
500, 23,   421342.29003,  5311254.16170, 11
499, 23,   421593.16297,  5311241.80788, 11
498, 23,   421837.71219,  5311192.43804, 11
497, 23,   422066.71511,  5311091.75966, 11
496, 23,   422278.73777,  5310957.58728, 11
495, 23,   422467.76010,  5310793.73054, 11
494, 23,   422625.57415,  5310599.21033, 11
493, 23,   422753.76497,  5310383.69385, 11
492, 23,   422855.29494,  5310154.24341, 11
491, 23,   422939.45730,  5309917.51973, 11
490, 23,   423004.32884,  5309675.21561, 11
489, 23,   423050.94086,  5309428.31528, 11
488, 23,   423107.30998,  5309183.81915, 11
487, 23,   423199.30621,  5308951.19248, 11
486, 23,   423323.29781,  5308732.91523, 11
485, 23,   423464.39287,  5308525.16172, 11
484, 23,   423621.57630,  5308329.42657, 11
483, 23,   423782.75556,  5308136.73914, 11
482, 23,   423933.07797,  5307935.51037, 11
481, 23,   424072.13020,  5307726.29354, 11
480, 23,   424197.23823,  5307508.59269, 11
479, 23,   424307.99546,  5307283.11533, 11
478, 23,   424411.97074,  5307054.34859, 11
477, 23,   424531.35693,  5306834.03276, 11
476, 23,   424674.52244,  5306627.70057, 11
475, 23,   424829.84943,  5306430.26519, 11
474, 23,   424990.11332,  5306236.71379, 11
473, 23,   425145.44031,  5306039.27841, 11
472, 23,   425281.04830,  5305828.45094, 11
471, 23,   425392.87698,  5305603.63985, 11
470, 23,   425502.49036,  5305377.64261, 11
469, 23,   425626.53159,  5305159.27799, 11
468, 23,   425761.39894,  5304947.27975, 11
467, 23,   425918.03219,  5304752.22976, 11
466, 23,   426110.10084,  5304592.34649, 11
465, 23,   426328.28012,  5304469.09907, 11
464, 23,   426556.76605,  5304364.53078, 11
463, 23,   426775.99104,  5304243.56829, 11
462, 23,   426980.53469,  5304097.78851, 11
461, 23,   427161.71484,  5303925.85999, 11
460, 23,   427288.43221,  5303712.82068, 11
459, 23,   427361.66862,  5303473.17813, 11
458, 23,   427418.12237,  5303228.31478, 11
457, 23,   427500.65955,  5302992.43211, 11
456, 23,   427613.66598,  5302768.07358, 11
455, 23,   427735.57836,  5302548.36963, 11
454, 23,   427865.09282,  5302333.08515, 11
453, 23,   428001.02697,  5302121.75068, 11
452, 23,   428135.89431,  5301909.75244, 11
451, 23,   428252.00461,  5301687.59002, 11
450, 23,   428335.97766,  5301451.39883, 11
449, 23,   428399.74445,  5301208.36334, 11
448, 23,   428464.71993,  5300965.67096, 11
447, 23,   428530.91385,  5300723.28528, 11
446, 23,   428588.58039,  5300478.75312, 11
445, 23,   428620.19244,  5300230.37397, 11
444, 23,   428596.96753,  5299982.45586, 11
443, 23,   428553.67566,  5299735.30884, 11
442, 23,   428537.77679,  5299484.90305, 11
441, 23,   428534.40780,  5299233.63878, 11
440, 23,   428576.54387,  5298990.49496, 11
439, 23,   428735.24128,  5298820.68810, 11
438, 23,   428973.34064,  5298747.24305, 11
437, 23,   429222.80916,  5298728.69754, 11
436, 23,   429456.24521,  5298666.79755, 11
435, 23,   429664.90247,  5298527.33046, 11
434, 23,   429882.46066,  5298405.86476, 11
433, 23,   430122.34010,  5298334.48967, 11
432, 23,   430312.41077,  5298203.27902, 11
431, 23,   430321.47849,  5297985.39334, 11
430, 23,   430245.05758,  5297749.59070, 11
