$Branch 1 water balance flow
 
JDAY,QDT,
1186.000,  -4.121,
1187.000,  -4.121,
1188.000,  -7.413,
1189.000,  -6.390,
1190.000,  -3.212,
1191.000,  -5.902,
1192.000,  -2.570,
1193.000,  -3.437,
1194.000,  -1.747,
1195.000,   6.012,
1196.000,   5.971,
1197.000,   3.299,
1198.000,  -0.382,
1199.000,  -5.450,
1200.000,  -5.450,
1201.000,  -8.766,
1202.000,  -6.492,
1203.000,  -6.492,
1204.000,  -7.685,
1205.000,  -6.378,
1206.000,  -4.983,
1207.000,  -7.424,
1208.000,  -6.709,
1209.000,  -4.756,
1210.000,  -8.862,
1211.000,  -9.006,
1212.000,  -7.742,
