$Grand Coulee Dam Flows
 
JDAY,QWO,
    41.050,   4482.34,
    41.100,   4463.01,
    41.150,   4580.08,
    41.200,   4833.50,
    41.250,   5090.83,
    41.300,   4978.44,
    41.350,   4962.48,
    41.400,   5021.57,
    41.450,   4826.34,
    41.500,   4678.22,
    41.550,   4656.85,
    41.600,   4521.05,
    41.650,   4424.06,
    41.700,   4664.06,
    41.750,   4844.68,
    41.800,   5413.03,
    41.850,   5006.28,
    41.900,   4598.54,
    41.950,   4521.57,
    42.000,   4215.97,
    42.050,   4243.07,
    42.100,   4557.33,
    42.150,   4684.90,
    42.200,   4888.65,
    42.250,   4944.09,
    42.300,   5018.30,
    42.350,   5178.64,
    42.400,   5121.08,
    42.450,   5172.03,
    42.500,   5159.47,
    42.550,   5049.23,
    42.600,   4913.07,
    42.650,   4777.13,
    42.700,   4153.09,
    42.750,   4206.68,
    42.800,   4022.36,
    42.850,   3659.55,
    42.900,   3457.36,
    42.950,   3297.70,
    43.000,   3335.39,
    43.050,   3552.39,
    43.100,   3711.35,
    43.150,   3842.96,
    43.200,   4010.09,
    43.250,   4080.27,
    43.300,   4132.83,
    43.350,   4766.54,
    43.400,   5037.60,
    43.450,   5023.81,
    43.500,   4550.15,
    43.550,   4208.54,
    43.600,   3686.85,
    43.650,   3220.27,
    43.700,   3644.77,
    43.750,   3915.23,
    43.800,   4035.73,
    43.850,   3727.81,
    43.900,   3450.82,
    43.950,   3655.44,
    44.000,   3236.62,
    44.050,   2994.80,
    44.100,   3027.93,
    44.150,   3177.65,
    44.200,   3377.54,
    44.250,   3886.89,
    44.300,   3842.71,
    44.350,   4349.44,
    44.400,   4628.53,
    44.450,   4530.97,
    44.500,   4522.04,
    44.550,   4199.98,
    44.600,   4118.98,
    44.650,   4134.25,
    44.700,   4218.19,
    44.750,   4360.16,
    44.800,   4561.82,
    44.850,   4463.88,
    44.900,   4320.36,
    44.950,   4010.02,
    45.000,   3795.56,
    45.050,   3583.99,
    45.100,   3420.68,
    45.150,   3425.47,
    45.200,   3793.16,
    45.250,   4895.15,
    45.300,   5324.02,
    45.350,   5165.58,
    45.400,   4873.61,
    45.450,   4410.77,
    45.500,   4002.97,
    45.550,   3842.34,
    45.600,   3472.86,
    45.650,   3088.06,
    45.700,   3422.70,
    45.750,   4035.48,
    45.800,   4284.12,
    45.850,   3829.94,
    45.900,   3298.38,
    45.950,   3020.30,
    46.000,   2776.20,
    46.050,   2786.50,
    46.100,   2948.37,
    46.150,   3051.91,
    46.200,   3534.62,
    46.250,   3946.49,
    46.300,   4295.69,
    46.350,   4344.98,
    46.400,   4466.94,
    46.450,   4432.51,
    46.500,   4462.53,
    46.550,   3948.37,
    46.600,   3864.63,
    46.650,   3932.51,
    46.700,   4356.38,
    46.750,   4476.81,
    46.800,   4252.69,
    46.850,   4168.93,
    46.900,   3766.02,
    46.950,   3745.97,
    47.000,   3156.30,
    47.050,   2665.69,
    47.100,   2538.34,
    47.150,   2286.21,
    47.200,   2436.70,
    47.250,   3420.69,
    47.300,   4187.72,
    47.350,   3930.80,
    47.400,   3966.95,
    47.450,   3970.50,
    47.500,   3995.40,
    47.550,   3847.08,
    47.600,   3615.32,
    47.650,   3777.85,
    47.700,   4058.60,
    47.750,   3950.50,
    47.800,   3967.46,
    47.850,   3636.94,
    47.900,   3246.71,
    47.950,   3153.96,
    48.000,   3058.50,
    48.050,   2618.97,
    48.100,   2686.32,
    48.150,   2722.40,
    48.200,   2533.45,
    48.250,   3415.04,
    48.300,   3869.49,
    48.350,   4127.02,
    48.400,   4179.40,
    48.450,   3937.76,
    48.500,   3758.03,
    48.550,   3527.01,
    48.600,   3103.36,
    48.650,   3288.49,
    48.700,   4172.95,
    48.750,   4699.15,
    48.800,   4379.58,
    48.850,   4035.82,
    48.900,   3299.32,
    48.950,   3168.13,
    49.000,   3126.49,
    49.050,   3051.40,
    49.100,   3217.92,
    49.150,   3231.48,
    49.200,   3741.75,
    49.250,   4149.28,
    49.300,   4207.88,
    49.350,   4186.37,
    49.400,   4253.24,
    49.450,   4153.36,
    49.500,   4009.69,
    49.550,   3848.40,
    49.600,   3324.76,
    49.650,   2705.39,
    49.700,   2828.93,
    49.750,   2984.45,
    49.800,   3251.85,
    49.850,   3226.32,
    49.900,   3129.36,
    49.950,   2842.38,
    50.000,   2357.17,
    50.050,   2400.05,
    50.100,   2414.95,
    50.150,   2453.62,
    50.200,   2555.92,
    50.250,   2901.61,
    50.300,   3095.44,
    50.350,   3839.58,
    50.400,   4446.73,
    50.450,   4469.52,
    50.500,   3889.48,
    50.550,   3407.38,
    50.600,   2943.37,
    50.650,   2828.70,
    50.700,   3750.79,
    50.750,   4433.12,
    50.800,   4604.13,
    50.850,   4349.65,
    50.900,   3920.17,
    50.950,   3616.07,
    51.000,   3353.62,
    51.050,   3120.99,
    51.100,   3180.64,
    51.150,   3217.63,
    51.200,   3272.30,
    51.250,   3375.09,
    51.300,   3883.16,
    51.350,   4323.97,
    51.400,   4553.20,
    51.450,   4335.34,
    51.500,   3905.92,
    51.550,   3634.85,
    51.600,   3462.98,
    51.650,   3317.78,
    51.700,   3633.09,
    51.750,   4350.61,
    51.800,   4306.07,
    51.850,   3956.12,
    51.900,   4070.80,
    51.950,   4096.89,
    52.000,   3922.52,
    52.050,   3579.55,
    52.100,   3490.13,
    52.150,   3619.26,
    52.200,   4061.92,
    52.250,   4487.22,
    52.300,   4335.95,
    52.350,   4003.33,
    52.400,   4046.94,
    52.450,   4228.92,
    52.500,   3934.05,
    52.550,   3445.29,
    52.600,   3285.92,
    52.650,   3278.95,
    52.700,   3283.03,
    52.750,   3674.71,
    52.800,   3949.65,
    52.850,   4101.98,
    52.900,   4323.72,
    52.950,   4413.41,
    53.000,   3475.73,
    53.050,   4115.32,
    53.100,   4423.65,
    53.150,   4398.48,
    53.200,   4271.23,
    53.250,   4363.52,
    53.300,   3989.18,
    53.350,   4154.82,
    53.400,   3657.74,
    53.450,   3271.71,
    53.500,   3349.13,
    53.550,   3450.86,
    53.600,   3314.88,
    53.650,   3050.79,
    53.700,   3277.52,
    53.750,   4479.13,
    53.800,   4599.69,
    53.850,   4102.96,
    53.900,   3548.53,
    53.950,   3483.58,
    54.000,   3730.65,
    54.050,   3734.53,
    54.100,   3618.07,
    54.150,   3799.23,
    54.200,   4017.68,
    54.250,   4321.02,
    54.300,   4026.83,
    54.350,   4238.45,
    54.400,   4220.10,
    54.450,   3836.69,
    54.500,   3478.08,
    54.550,   3719.48,
    54.600,   3813.43,
    54.650,   3895.89,
    54.700,   3951.91,
    54.750,   4353.89,
    54.800,   4566.56,
    54.850,   4352.23,
    54.900,   4165.11,
    54.950,   4355.09,
    55.000,   3599.86,
    55.050,   3457.10,
    55.100,   3200.84,
    55.150,   2655.17,
    55.200,   2376.30,
    55.250,   3463.66,
    55.300,   4433.18,
    55.350,   4864.65,
    55.400,   4915.28,
    55.450,   4903.90,
    55.500,   4783.10,
    55.550,   4595.39,
    55.600,   4395.76,
    55.650,   4264.80,
    55.700,   4292.84,
    55.750,   4865.61,
    55.800,   4894.76,
    55.850,   4750.47,
    55.900,   4180.20,
    55.950,   3767.27,
    56.000,   3588.33,
    56.050,   3383.81,
    56.100,   3494.97,
    56.150,   3891.54,
    56.200,   4374.29,
    56.250,   4606.53,
    56.300,   4662.96,
    56.350,   4517.30,
    56.400,   4268.74,
    56.450,   3870.92,
    56.500,   3625.13,
    56.550,   3544.06,
    56.600,   3471.90,
    56.650,   3381.01,
    56.700,   3655.87,
    56.750,   4471.99,
    56.800,   4675.03,
    56.850,   4598.56,
    56.900,   4345.72,
    56.950,   4219.19,
    57.000,   3857.76,
    57.050,   3768.21,
    57.100,   3763.49,
    57.150,   3893.27,
    57.200,   3994.36,
    57.250,   4430.19,
    57.300,   4270.49,
    57.350,   4586.07,
    57.400,   4739.23,
    57.450,   4463.76,
    57.500,   4318.51,
    57.550,   3757.85,
    57.600,   3380.79,
    57.650,   3361.27,
    57.700,   3701.01,
    57.750,   4366.74,
    57.800,   4525.98,
    57.850,   4282.16,
    57.900,   3990.27,
    57.950,   4157.52,
    58.000,   3784.73,
    58.050,   4140.25,
    58.100,   4129.82,
    58.150,   4334.44,
    58.200,   4458.21,
    58.250,   3697.39,
    58.300,   3796.44,
    58.350,   3852.34,
    58.400,   3967.56,
    58.450,   3907.22,
    58.500,   3837.34,
    58.550,   3886.73,
    58.600,   3947.28,
    58.650,   3935.28,
    58.700,   4021.51,
