$LGS.Elev-Tailwater.Ave.~1Day.1Day.CBT-REV [ft NAVD88],,
CY2011-2015,,12/31/2010
JDAY,TWElev,
41949,542.142887,
41950,542.262887,
41951,542.322887,
41952,542.312887,
41953,542.212887,
41954,542.232887,
41955,542.082887,
41956,542.432887,
41957,542.262887,
41958,542.112887,
41959,542.052887,
41960,542.502887,
41961,542.492887,
41962,542.252887,
41963,542.312887,
41964,542.042887,
41965,541.742887,
41966,542.192887,
41967,542.022887,
41968,542.092887,
41969,542.452887,
41970,542.452887,
41971,542.222887,
41972,542.102887,
41973,542.542887,
41974,542.482887,
41975,542.172887,
41976,542.172887,
41977,542.382887,
41978,542.192887,
41979,541.632887,
41980,541.432887,
41981,542.012887,
41982,542.102887,
41983,542.512887,
41984,542.382887,
41985,542.312887,
41986,542.202887,
41987,542.202887,
41988,542.272887,
41989,542.212887,
41990,542.582887,
41991,542.452887,
41992,542.232887,
41993,542.472887,
41994,542.362887,
41995,542.462887,
41996,542.402887,
41997,542.402887,
41998,542.582887,
41999,542.572887,
42000,542.742887,
42001,542.532887,
42002,542.332887,
42003,541.922887,
42004,542.402887,
42005,542.282887,
42006,542.492887,
42007,542.382887,
42008,542.022887,
42009,542.362887,
42010,542.472887,
42011,542.592887,
42012,542.592887,
42013,542.612887,
42014,542.222887,
42015,542.372887,
42016,542.262887,
42017,542.252887,
42018,542.582887,
42019,542.552887,
42020,542.322887,
42021,542.232887,
42022,542.532887,
42023,542.612887,
42024,542.742887,
42025,542.862887,
42026,542.642887,
42027,542.582887,
42028,542.732887,
42029,542.612887,
42030,542.532887,
42031,542.772887,
42032,542.702887,
42033,542.702887,
42034,542.702887,
42035,542.702887,
42036,542.602887,
42037,542.512887,
42038,542.212887,
42039,542.362887,
42040,542.242887,
42041,542.272887,
42042,542.432887,
42043,542.092887,
42044,542.562887,
42045,542.482887,
42046,542.622887,
42047,542.622887,
42048,542.662887,
42049,542.602887,
42050,542.622887,
