$ LITTLE GOOSE-POOLELEV.npt based on $//LITTLE GOOSE-POOL/ELEV//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,ELEV
42131,194.081
42132,194.033
42133,194.017
42134,194.039
42135,194.051
42136,194.081
42137,194.094
42138,194.091
42139,194.112
42140,194.036
42141,194.109
42142,194.088
42143,194.063
42144,194.005
42145,194.005
42146,194.072
42147,194.045
42148,194.066
42149,194.039
42150,194.069
42151,194.057
42152,194.039
42153,194.002
42154,194.048
42155,194.075
42156,194.054
42157,194.027
42158,194.085
42159,194.011
42160,194.1
42161,194.06
42162,194.017
42163,194.088
42164,194.033
42165,194.057
42166,194.06
42167,194.005
42168,194.088
42169,194.039
42170,194.027
42171,194.161
42172,194.179
42173,194.176
42174,194.145
42175,194.152
42176,194.216
42177,194.213
42178,194.28
42179,194.213
42180,194.24
42181,194.246
42182,194.231
42183,194.225
42184,194.24
42185,194.234
42186,194.194
42187,194.225
42188,194.252
42189,194.222
42190,194.158
42191,194.316
42192,194.401
42193,194.386
42194,194.359
42195,194.408
42196,194.417
42197,194.38
42198,194.365
42199,194.386
42200,194.414
42201,194.398
42202,194.322
42203,194.313
42204,194.365
42205,194.398
42206,194.328
42207,194.347
42208,194.313
42209,194.386
42210,194.331
42211,194.334
42212,194.426
42213,194.353
42214,194.401
42215,194.341
42216,194.42
42217,194.35
42218,194.347
42219,194.347
42220,194.368
42221,194.386
42222,194.362
42223,194.359
42224,194.331
42225,194.35
42226,194.304
42227,194.295
42228,194.289
42229,194.341
42230,194.386
42231,194.435
42232,194.344
42233,194.386
42234,194.362
42235,194.322
42236,194.35
42237,194.377
42238,194.368
42239,194.316
42240,194.386
42241,194.435
42242,194.447
42243,194.301
42244,194.304
42245,194.362
42246,194.365
42247,194.334
42248,194.319
42249,194.337
42250,194.344
42251,194.408
42252,194.466
42253,194.627
42254,194.743
42255,195.017
42256,195.087
42257,195.099
42258,195.066
42259,195.112
42260,195.112
42261,195.072
42262,195.075
42263,195.054
42264,194.99
42265,194.837
42266,194.548
42267,194.459
42268,194.395
42269,194.405
42270,194.401
42271,194.395
42272,194.517
42273,194.536
42274,194.523
42275,194.6
42276,194.837
42277,195.023
42278,195.09
42279,195.078
42280,195.072
42281,195.084
42282,195.103
42283,195.124
42284,195.121
42285,195.145
42286,195.127
42287,195.099
42288,195.051
42289,195.029
42290,195.048
42291,195.163
42292,195.127
42293,195.127
42294,195.099
42295,195.115
42296,195.194
42297,195.191
42298,195.157
42299,195.148
42300,195.206
42301,195.185
42302,195.148
42303,195.176
42304,195.197
42305,195.136
42306,195.057
42307,195.173
42308,195.179
42309,195.173
42310,195.142
42311,195.168
42312,195.146
42313,195.078
42314,195.078
42315,195.113
42316,195.097
42317,195.117
42318,195.15
42319,195.204
42320,195.215
42321,195.239
42322,195.193
42323,195.144
42324,195.183
42325,195.109
42326,195.211
42327,195.142
42328,195.212
42329,195.198
42330,195.162
42331,195.14
42332,195.174
42333,195.173
42334,195.12
42335,195.118
42336,195.173
42337,195.179
42338,195.17
42339,195.164
42340,195.111
42341,195.065
42342,195.11
42343,195.147
42344,195.139
42345,195.157
42346,195.157
42347,195.204
42348,195.154
42349,195.131
42350,195.013
42351,195.002
42352,195.122
42353,195.133
42354,195.115
42355,195.088
42356,195.181
42357,195.164
42358,195.128
42359,195.092
42360,195.175
42361,195.173
42362,195.173
42363,195.105
42364,195.181
42365,195.22
42366,195.254
42367,195.229
42368,195.137
42369,195.165
42370,195.202
