$ QGT_LGS_2011_2015_daily_DSS-scaled.csv based on GDACS spill ratios in  QGT_LGS_2011_2015_daily_ave.csv ; all outlets scaled to total flow from LITTLE GOOSE_OUTFLOW.csv
#Units in cubic meters per second; Julian Day 1 is 1899-12-31; The following days have missing data chunks 40565, 40952, 41182, 41731, 41865, 42153, 42296 that are  2, 2, 2, 2, 7, 3, 34 days long
"JDAY","POW","SPB1TSW1","SPB1TSW2","SPB2","SPB3","SPB4","SPB5","SPB6","SPB7","SPB8","MISC"
266.000000,860.185,0,0,0,0,0,0,0,0,0,16.95
267.000000,869.374,0,0,0,0,0,0,0,0,0,27.671
268.000000,904.633,0,0,0,0,0,0,0,0,0,28.637
269.000000,866.735,0,0,0,0,0,0,0,0,0,16.554
270.000000,535.205,0,0,0,0,0,0,0,0,0,10.419
271.000000,780.571,0,0,0,0,0,0,0,0,0,11.857
272.000000,837.731,0,0,0,0,0,0,0,0,0,10.832
273.000000,853.987,0,0,0,0,0,0,0,0,0,14.95
274.000000,837.94,0,0,0,0,0,0,0,0,0,17.232
275.000000,887.813,0,0,0,0,0,0,0,0,0,16.356
276.000000,823.277,0,0,0,0,0,0,0,0,0,14.096
277.000000,753.267,0,0,0,0,0,0,0,0,0,15.121
278.000000,852.164,0,0,0,0,0,0,0,0,0,17.814
279.000000,838.554,0,0,0,0,0,0,0,0,0,12.144
280.000000,798.709,0,0,0,0,0,0,0,0,0,17.038
281.000000,873.9,0,0,0,0,0,0,0,0,0,16.132
282.000000,942.368,0,0,0,0,0,0,0,0,0,16.058
283.000000,961.57,0,0,0,0,0,0,0,0,0,14.996
284.000000,704.854,0,0,0,0,0,0,0,0,0,16.741
285.000000,669.363,0,0,0,0,0,0,0,0,0,13.07
286.000000,766.653,0,0,0,0,0,0,0,0,0,13.621
287.000000,716.686,0,0,0,0,0,0,0,0,0,19.321
288.000000,705.357,0,0,0,0,0,0,0,0,0,11.479
289.000000,606.261,0,0,0,0,0,0,0,0,0,12.995
290.000000,721.793,0,0,0,0,0,0,0,0,0,11.443
291.000000,766.656,0,0,0,0,0,0,0,0,0,19.041
292.000000,849.392,0,0,0,0,0,0,0,0,0,21.021
293.000000,720.282,0,0,0,0,0,0,0,0,0,15.38
294.000000,689.244,0,0,0,0,0,0,0,0,0,20.141
295.000000,636.546,0,0,0,0,0,0,0,0,0,14.386
296.000000,631.496,0,0,0,0,0,0,0,0,0,13.068
297.000000,683.326,0,0,0,0,0,0,0,0,0,14.057
298.000000,679.799,0,0,0,0,0,0,0,0,0,16.232
299.000000,669.022,0,0,0,0,0,0,0,0,0,16.473
300.000000,690.558,0,0,0,0,0,0,0,0,0,13.22
301.000000,655.99,0,0,0,0,0,0,0,0,0,16.399
302.000000,718.823,0,0,0,0,0,0,0,0,0,13.819
303.000000,552.392,0,0,0,0,0,0,0,0,0,10.713
304.000000,584.249,0,0,0,0,0,0,0,0,0,12.027
305.000000,686.231,0,0,0,0,0,0,0,0,0,18.403
306.000000,641.945,0,0,0,0,0,0,0,0,0,11.916
307.000000,683.988,0,0,0,0,0,0,0,0,0,18.478
308.000000,637.24,0,0,0,0,0,0,0,0,0,14.405
309.000000,584.308,0,0,0,0,0,0,0,0,0,11.088
310.000000,611.765,0,0,0,0,0,0,0,0,0,11.54
311.000000,675.358,0,0,0,0,0,0,0,0,0,20.512
312.000000,624.813,0,0,0,0,0,0,0,0,0,14.726
313.000000,682.982,0,0,0,0,0,0,0,0,0,10.883
314.000000,545.356,0,0,0,0,0,0,0,0,0,14.985
315.000000,687.206,0,0,0,0,0,0,0,0,0,15.598
316.000000,638.713,0,0,0,0,0,0,0,0,0,18.048
317.000000,519.832,0,0,0,0,0,0,0,0,0,13.898
318.000000,521.048,0,0,0,0,0,0,0,0,0,7.449
